,tested_combination,combination_played_order,score_prediction_0,score_prediction_1,score_prediction_2
382,3 BLUE - 2 BLUE,2 BLUE - 3 BLUE,14.0,-10.0,-20.0
383,3 BLUE - 2 BLUE,3 BLUE - 2 BLUE,14.0,-10.0,-20.0
384,3 BLUE - 2 GREEN,2 GREEN - 3 BLUE,14.0,-10.0,-20.0
385,3 BLUE - 2 GREEN,3 BLUE - 2 GREEN,20.0,-10.0,-20.0
386,3 BLUE - 3 GREEN,3 BLUE - 3 GREEN,12.0,-10.0,-8.0
387,3 BLUE - 3 GREEN,3 GREEN - 3 BLUE,-6.0,-2.0,-6.0
388,3 BLUE - 4 BLUE,3 BLUE - 4 BLUE,6.0,-2.0,-6.0
389,3 BLUE - 4 BLUE,4 BLUE - 3 BLUE,6.0,-2.0,-6.0
390,3 BLUE - 5 BLUE,3 BLUE - 5 BLUE,4.0,-10.0,4.0
391,3 BLUE - 5 BLUE,5 BLUE - 3 BLUE,4.0,-10.0,4.0
392,3 BLUE - 8 BLUE,3 BLUE - 8 BLUE,0.0,-2.0,-6.0
393,3 BLUE - 8 BLUE,8 BLUE - 3 BLUE,-2.0,-10.0,4.0
394,3 BLUE - 9 BLUE,3 BLUE - 9 BLUE,-2.0,-2.0,6.0
395,3 BLUE - 9 BLUE,9 BLUE - 3 BLUE,-10.0,-2.0,18.0
396,3 RED - 1 BLUE,1 BLUE - 3 RED,-10.0,-2.0,18.0
397,3 RED - 1 BLUE,3 RED - 1 BLUE,-12.0,-10.0,18.0
398,3 RED - 1 RED,1 RED - 3 RED,-16.0,6.0,20.0
399,3 RED - 1 RED,3 RED - 1 RED,-18.0,-2.0,30.0
400,3 RED - 10 BLUE,10 BLUE - 3 RED,-14.0,14.0,10.0
401,3 RED - 10 BLUE,3 RED - 10 BLUE,-10.0,-2.0,8.0
402,3 RED - 10 RED,10 RED - 3 RED,-16.0,6.0,20.0
403,3 RED - 10 RED,3 RED - 10 RED,-14.0,14.0,10.0
404,3 RED - 11 BLUE,11 BLUE - 3 RED,-16.0,6.0,20.0
405,3 RED - 11 BLUE,3 RED - 11 BLUE,-16.0,-2.0,18.0
406,3 RED - 11 RED,11 RED - 3 RED,-20.0,-10.0,40.0
