,tested_combination,combination_played_order,score_prediction_0,score_prediction_1,score_prediction_2
31,1 RED - 2 BLUE,2 BLUE - 1 RED,2.0,14.0,-14.0
19,1 RED - 1 BLUE,1 RED - 1 BLUE,0.0,-10.0,-18.0
18,1 RED - 1 BLUE,1 BLUE - 1 RED,2.0,-2.0,-18.0
303,13 BLUE - 12 BLUE,13 BLUE - 12 BLUE,-18.0,-2.0,30.0
302,13 BLUE - 12 BLUE,12 BLUE - 13 BLUE,-18.0,-2.0,30.0
299,13 BLUE - 11 BLUE,13 BLUE - 11 BLUE,-12.0,-10.0,28.0
298,13 BLUE - 11 BLUE,11 BLUE - 13 BLUE,-12.0,-10.0,28.0
295,13 BLUE - 10 BLUE,13 BLUE - 10 BLUE,-18.0,-10.0,28.0
294,13 BLUE - 10 BLUE,10 BLUE - 13 BLUE,-18.0,-10.0,28.0
333,13 BLUE - 9 BLUE,9 BLUE - 13 BLUE,14.0,-2.0,-18.0
332,13 BLUE - 9 BLUE,13 BLUE - 9 BLUE,-14.0,6.0,8.0
329,13 BLUE - 8 BLUE,8 BLUE - 13 BLUE,14.0,-10.0,-20.0
328,13 BLUE - 8 BLUE,13 BLUE - 8 BLUE,-16.0,-10.0,16.0
323,13 BLUE - 6 BLUE,6 BLUE - 13 BLUE,-8.0,-2.0,6.0
322,13 BLUE - 6 BLUE,13 BLUE - 6 BLUE,-14.0,-2.0,6.0
318,13 BLUE - 5 BLUE,13 BLUE - 5 BLUE,-8.0,-10.0,4.0
319,13 BLUE - 5 BLUE,5 BLUE - 13 BLUE,-2.0,-10.0,4.0
315,13 BLUE - 4 BLUE,4 BLUE - 13 BLUE,0.0,-10.0,-8.0
314,13 BLUE - 4 BLUE,13 BLUE - 4 BLUE,-8.0,-10.0,4.0
309,13 BLUE - 2 BLUE,2 BLUE - 13 BLUE,6.0,-2.0,-6.0
308,13 BLUE - 2 BLUE,13 BLUE - 2 BLUE,-16.0,-2.0,18.0
290,13 BLUE - 1 BLUE,1 BLUE - 13 BLUE,12.0,-10.0,-8.0
291,13 BLUE - 1 BLUE,13 BLUE - 1 BLUE,-18.0,-10.0,28.0
307,13 BLUE - 13 GREEN,13 GREEN - 13 BLUE,-2.0,-10.0,4.0
306,13 BLUE - 13 GREEN,13 BLUE - 13 GREEN,-2.0,-10.0,4.0
304,13 BLUE - 12 GREEN,12 GREEN - 13 BLUE,-8.0,6.0,-4.0
305,13 BLUE - 12 GREEN,13 BLUE - 12 GREEN,-16.0,6.0,0.0
300,13 BLUE - 11 GREEN,11 GREEN - 13 BLUE,0.0,-10.0,-20.0
301,13 BLUE - 11 GREEN,13 BLUE - 11 GREEN,-14.0,-10.0,-16.0
296,13 BLUE - 10 GREEN,10 GREEN - 13 BLUE,-10.0,-2.0,6.0
297,13 BLUE - 10 GREEN,13 BLUE - 10 GREEN,-16.0,-2.0,8.0
334,13 BLUE - 9 GREEN,13 BLUE - 9 GREEN,-14.0,-10.0,4.0
335,13 BLUE - 9 GREEN,9 GREEN - 13 BLUE,-14.0,-10.0,4.0
330,13 BLUE - 8 GREEN,13 BLUE - 8 GREEN,-16.0,-10.0,6.0
331,13 BLUE - 8 GREEN,8 GREEN - 13 BLUE,4.0,-10.0,4.0
326,13 BLUE - 7 GREEN,13 BLUE - 7 GREEN,-14.0,6.0,-12.0
327,13 BLUE - 7 GREEN,7 GREEN - 13 BLUE,0.0,6.0,-16.0
324,13 BLUE - 6 GREEN,13 BLUE - 6 GREEN,-14.0,-2.0,-4.0
325,13 BLUE - 6 GREEN,6 GREEN - 13 BLUE,6.0,-2.0,-6.0
320,13 BLUE - 5 GREEN,13 BLUE - 5 GREEN,-10.0,-2.0,8.0
321,13 BLUE - 5 GREEN,5 GREEN - 13 BLUE,4.0,-10.0,4.0
317,13 BLUE - 4 GREEN,4 GREEN - 13 BLUE,8.0,6.0,-16.0
