tested_combination,combination_played_order,score_prediction_0,score_prediction_1,score_prediction_2
7 RED - 6 BLUE,7 RED - 6 BLUE,-13.13,1.88,-10.59
7 RED - 5 BLUE,7 RED - 5 BLUE,-13.06,2.56,-10.58
7 RED - 4 BLUE,7 RED - 4 BLUE,-12.47,3.48,-12.07
7 RED - 3 BLUE,7 RED - 3 BLUE,-11.99,3.44,-12.6
7 RED - 2 BLUE,7 RED - 2 BLUE,-11.96,6.36,-12.74
7 RED - 1 BLUE,7 RED - 1 BLUE,-11.16,7.12,-13.06
7 RED - Jester,7 RED - Jester,-9.61,17.68,-13.08
6 RED - 5 RED,6 RED - 5 RED,-16.16,1.04,23.14
6 RED - 4 RED,6 RED - 4 RED,-15.45,2.48,20.13
6 RED - 3 RED,6 RED - 3 RED,-16.05,0.72,21.01
6 RED - 2 RED,6 RED - 2 RED,-16.42,-0.16,20.96
6 RED - 1 RED,6 RED - 1 RED,-16.18,0.52,19.24
6 RED - 13 BLUE,6 RED - 13 BLUE,-15.96,-6.48,-2.67
6 RED - 12 BLUE,6 RED - 12 BLUE,-15.04,-4.76,-4.68
6 RED - 11 BLUE,6 RED - 11 BLUE,-15.13,-4.2,-5.71
6 RED - 10 BLUE,6 RED - 10 BLUE,-14.5,-3.8,-7.88
6 RED - 9 BLUE,6 RED - 9 BLUE,-14.01,-3.4,-8.1
6 RED - 8 BLUE,6 RED - 8 BLUE,-13.71,-1.76,-9.16
6 RED - 7 BLUE,6 RED - 7 BLUE,-13.34,0.16,-10.05
6 RED - 6 BLUE,6 RED - 6 BLUE,-13.04,1.24,-10.86
6 RED - 5 BLUE,6 RED - 5 BLUE,-12.98,2.08,-11.38
6 RED - 4 BLUE,6 RED - 4 BLUE,-11.9,2.32,-12.51
6 RED - 3 BLUE,6 RED - 3 BLUE,-11.66,4.52,-12.57
6 RED - 2 BLUE,6 RED - 2 BLUE,-11.82,5.96,-12.77
6 RED - 1 BLUE,6 RED - 1 BLUE,-11.04,6.72,-13.28
6 RED - Jester,6 RED - Jester,-9.34,16.36,-13.41
5 RED - 4 RED,5 RED - 4 RED,-15.92,2.16,21.62
5 RED - 3 RED,5 RED - 3 RED,-15.62,2.32,20.5
5 RED - 2 RED,5 RED - 2 RED,-15.59,1.68,19.46
5 RED - 1 RED,5 RED - 1 RED,-15.97,-0.12,21.13
5 RED - 13 BLUE,5 RED - 13 BLUE,-16.05,-6.0,-2.6
5 RED - 12 BLUE,5 RED - 12 BLUE,-15.15,-6.12,-5.78
5 RED - 11 BLUE,5 RED - 11 BLUE,-14.44,-4.52,-6.19
5 RED - 10 BLUE,5 RED - 10 BLUE,-14.12,-2.84,-8.2
5 RED - 9 BLUE,5 RED - 9 BLUE,-13.84,-2.72,-8.51
5 RED - 8 BLUE,5 RED - 8 BLUE,-13.63,-1.36,-9.41
5 RED - 7 BLUE,5 RED - 7 BLUE,-13.3,-0.92,-10.22
5 RED - 6 BLUE,5 RED - 6 BLUE,-12.86,-0.12,-11.04
5 RED - 5 BLUE,5 RED - 5 BLUE,-12.44,1.08,-11.63
5 RED - 4 BLUE,5 RED - 4 BLUE,-11.73,2.64,-12.88
5 RED - 3 BLUE,5 RED - 3 BLUE,-10.9,4.12,-12.9
5 RED - 2 BLUE,5 RED - 2 BLUE,-10.56,4.56,-13.41
5 RED - 1 BLUE,5 RED - 1 BLUE,-10.7,5.92,-13.58
5 RED - Jester,5 RED - Jester,-9.34,15.88,-13.53
4 RED - 3 RED,4 RED - 3 RED,-15.34,2.24,20.68
4 RED - 2 RED,4 RED - 2 RED,-15.71,1.48,20.75
4 RED - 1 RED,4 RED - 1 RED,-15.59,2.24,18.86
4 RED - 13 BLUE,4 RED - 13 BLUE,-15.32,-6.24,-3.02
4 RED - 12 BLUE,4 RED - 12 BLUE,-14.89,-5.08,-6.09
4 RED - 11 BLUE,4 RED - 11 BLUE,-15.13,-5.2,-6.09
4 RED - 10 BLUE,4 RED - 10 BLUE,-13.87,-3.04,-8.85
4 RED - 9 BLUE,4 RED - 9 BLUE,-13.4,-3.16,-8.29
4 RED - 8 BLUE,4 RED - 8 BLUE,-12.88,-2.4,-9.23
4 RED - 7 BLUE,4 RED - 7 BLUE,-12.52,-0.64,-11.55
4 RED - 6 BLUE,4 RED - 6 BLUE,-11.78,0.12,-11.48
4 RED - 5 BLUE,4 RED - 5 BLUE,-11.89,0.92,-11.81
4 RED - 4 BLUE,4 RED - 4 BLUE,-11.38,2.8,-12.61
4 RED - 3 BLUE,4 RED - 3 BLUE,-11.09,3.08,-13.05
4 RED - 2 BLUE,4 RED - 2 BLUE,-10.91,4.32,-13.26
4 RED - 1 BLUE,4 RED - 1 BLUE,-10.18,5.96,-13.67
4 RED - Jester,4 RED - Jester,-9.22,14.52,-13.87
3 RED - 2 RED,3 RED - 2 RED,-15.01,2.44,20.19
3 RED - 1 RED,3 RED - 1 RED,-15.22,2.36,18.81
3 RED - 13 BLUE,3 RED - 13 BLUE,-14.72,-6.72,-4.15
3 RED - 12 BLUE,3 RED - 12 BLUE,-14.22,-5.72,-5.81
3 RED - 11 BLUE,3 RED - 11 BLUE,-14.2,-5.16,-7.03
3 RED - 10 BLUE,3 RED - 10 BLUE,-13.37,-3.72,-8.3
3 RED - 9 BLUE,3 RED - 9 BLUE,-13.06,-2.92,-8.74
3 RED - 8 BLUE,3 RED - 8 BLUE,-12.82,-1.8,-9.85
3 RED - 7 BLUE,3 RED - 7 BLUE,-12.25,-0.96,-10.4
3 RED - 6 BLUE,3 RED - 6 BLUE,-11.72,-0.36,-11.71
3 RED - 5 BLUE,3 RED - 5 BLUE,-11.79,0.12,-12.7
3 RED - 4 BLUE,3 RED - 4 BLUE,-11.12,1.16,-13.31
3 RED - 3 BLUE,3 RED - 3 BLUE,-11.32,1.68,-13.14
3 RED - 2 BLUE,3 RED - 2 BLUE,-10.0,3.4,-13.82
3 RED - 1 BLUE,3 RED - 1 BLUE,-10.15,4.68,-14.02
3 RED - Jester,3 RED - Jester,-9.01,13.8,-14.05
2 RED - 1 RED,2 RED - 1 RED,-14.62,3.4,18.45
2 RED - 13 BLUE,2 RED - 13 BLUE,-14.62,-4.96,-2.76
2 RED - 12 BLUE,2 RED - 12 BLUE,-14.26,-4.8,-5.68
2 RED - 11 BLUE,2 RED - 11 BLUE,-13.4,-4.64,-6.91
2 RED - 10 BLUE,2 RED - 10 BLUE,-13.27,-3.36,-9.6
2 RED - 9 BLUE,2 RED - 9 BLUE,-13.13,-3.0,-9.49
2 RED - 8 BLUE,2 RED - 8 BLUE,-12.12,-2.4,-10.21
2 RED - 7 BLUE,2 RED - 7 BLUE,-12.01,-1.56,-11.59
2 RED - 6 BLUE,2 RED - 6 BLUE,-11.69,-0.6,-11.89
2 RED - 5 BLUE,2 RED - 5 BLUE,-11.16,0.4,-11.97
2 RED - 4 BLUE,2 RED - 4 BLUE,-10.92,1.84,-12.82
2 RED - 3 BLUE,2 RED - 3 BLUE,-10.61,2.72,-12.73
2 RED - 2 BLUE,2 RED - 2 BLUE,-9.86,3.68,-13.54
2 RED - 1 BLUE,2 RED - 1 BLUE,-9.71,3.72,-14.22
2 RED - Jester,2 RED - Jester,-8.89,13.72,-14.07
1 RED - 13 BLUE,1 RED - 13 BLUE,-14.37,-5.72,-3.91
1 RED - 12 BLUE,1 RED - 12 BLUE,-13.66,-4.08,-5.2
1 RED - 11 BLUE,1 RED - 11 BLUE,-12.85,-4.48,-7.29
